GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RelationAdapter() {...},14,3,0,0,4,1,2,1,2,1
tax,pt.ist.fenixframework.consistencyPredicates,DomainDependenceRecord_Base.new RoleMany() {...},5,3,0,0,2,1,2,1,2,1
tax,pt.ist.fenixframework.data,InstallationData_Base.DomainRootHasInstallationData,0,7,0,0,0,1,0,1,0,1
tax,pt.ist.fenixframework.data,InstallationData_Base,53,73,5,3,15,18,13,8,9,8
tax,pt.ist.fenixframework.data,InstallationData_Base.DO_State,0,18,0,0,0,6,0,2,0,2
tax,pt.ist.fenixframework.data,InstallationData_Base.new RoleOne() {...},16,3,0,0,4,1,3,1,3,1
tax,pt.ulisboa.tecnico.softeng.tax.presentation,InvoiceController,111,0,0,0,19,0,4,0,4,0
tax,pt.ulisboa.tecnico.softeng.tax.presentation,IRSController,6,0,0,0,3,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.presentation,TaxPayerController,80,0,0,0,16,0,4,0,4,0
tax,pt.ulisboa.tecnico.softeng.tax.presentation,ItemTypeController,62,0,0,0,15,0,4,0,4,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface,138,141,5,5,13,8,27,4,22,4
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.cancelInvoice,11,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.createTaxPayer,11,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.getTaxPayerDataList,5,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.getTaxPayerDataByNif,10,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.createItemType,11,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.submitInvoice,0,10,0,0,0,0,0,2,0,2
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.getItemTypeDataList,5,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.deleteIRS,6,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.getInvoiceDataList,10,0,0,0,0,0,2,0,2,0
tax,pt.ulisboa.tecnico.softeng.tax.services.local,TaxInterface.callable.createInvoice,16,0,0,0,0,0,2,0,2,0
tax,pt.ist.fenixframework.backend,CurrentBackEndId,6,12,0,0,2,5,0,5,0,5
